,Time (s),Signal (V)
0,1647014891.0787702,-0.010625324259163182
1,1647014891.092576,-0.010625324259163182
2,1647014891.097064,-0.010500320444349499
3,1647014891.1015165,-0.010500320444349499
4,1647014891.1059656,-0.010625324259163182
5,1647014891.1104121,-0.010625324259163182
6,1647014891.1148717,-0.010625324259163182
7,1647014891.119326,-0.010625324259163182
8,1647014891.1237822,-0.010750328073976868
9,1647014891.1282363,-0.010750328073976868
10,1647014891.1326902,-0.010750328073976868
11,1647014891.1371398,-0.010750328073976868
12,1647014891.1415923,-0.010750328073976868
13,1647014891.146042,-0.010625324259163182
14,1647014891.1504915,-0.010500320444349499
15,1647014891.1549444,-0.010500320444349499
16,1647014891.1593943,-0.010625324259163182
17,1647014891.1638474,-0.010750328073976868
18,1647014891.1682944,-0.010750328073976868
19,1647014891.1727412,-0.010875331888790552
20,1647014891.177189,-0.010875331888790552
21,1647014891.1816392,-0.010875331888790552
22,1647014891.1860855,-0.010875331888790552
23,1647014891.1905298,-0.011000335703604236
24,1647014891.19498,-0.011000335703604236
25,1647014891.1994255,-0.010875331888790552
26,1647014891.203877,-0.010750328073976868
27,1647014891.208322,-0.010875331888790552
28,1647014891.2127712,-0.010750328073976868
29,1647014891.2172172,-0.010750328073976868
30,1647014891.2216675,-0.010750328073976868
31,1647014891.226114,-0.010875331888790552
32,1647014891.2305605,-0.011000335703604236
33,1647014891.2350447,-0.011000335703604236
34,1647014891.2394917,-0.011000335703604236
35,1647014891.243941,-0.011000335703604236
36,1647014891.248388,-0.010750328073976868
37,1647014891.2528393,-0.010625324259163182
38,1647014891.2572844,-0.010625324259163182
39,1647014891.2617342,-0.010625324259163182
40,1647014891.2661781,-0.010750328073976868
41,1647014891.2706227,-0.010750328073976868
42,1647014891.2750986,-0.010750328073976868
43,1647014891.279544,-0.010875331888790552
44,1647014891.2839923,-0.011000335703604236
45,1647014891.288437,-0.01112533951841792
46,1647014891.2928884,-0.01112533951841792
47,1647014891.2973342,-0.011000335703604236
48,1647014891.3017793,-0.010875331888790552
49,1647014891.306226,-0.010750328073976868
50,1647014891.3106782,-0.010750328073976868
51,1647014891.3151252,-0.010750328073976868
52,1647014891.3195686,-0.010750328073976868
53,1647014891.3240182,-0.010750328073976868
54,1647014891.328465,-0.011000335703604236
55,1647014891.3329132,-0.011000335703604236
56,1647014891.3373578,-0.011250343333231605
57,1647014891.341806,-0.011000335703604236
58,1647014891.3462524,-0.011000335703604236
59,1647014891.350703,-0.010875331888790552
60,1647014891.3551483,-0.010875331888790552
61,1647014891.3595932,-0.010875331888790552
62,1647014891.3640435,-0.010875331888790552
63,1647014891.3684888,-0.010750328073976868
64,1647014891.3729367,-0.010875331888790552
65,1647014891.3773808,-0.010875331888790552
66,1647014891.3818307,-0.011000335703604236
67,1647014891.386276,-0.01112533951841792
68,1647014891.3907263,-0.01112533951841792
69,1647014891.395171,-0.011250343333231605
70,1647014891.3996155,-0.011000335703604236
71,1647014891.4040644,-0.01112533951841792
72,1647014891.4085093,-0.01112533951841792
73,1647014891.4129875,-0.01112533951841792
74,1647014891.4174356,-0.010875331888790552
75,1647014891.4218857,-0.010875331888790552
76,1647014891.4263313,-0.011000335703604236
77,1647014891.4307811,-0.011000335703604236
78,1647014891.435226,-0.011000335703604236
79,1647014891.4396698,-0.01112533951841792
80,1647014891.4441185,-0.011250343333231605
81,1647014891.448564,-0.011250343333231605
82,1647014891.453012,-0.01112533951841792
83,1647014891.4574583,-0.011250343333231605
84,1647014891.461906,-0.01112533951841792
85,1647014891.4663525,-0.011000335703604236
86,1647014891.4708006,-0.010875331888790552
87,1647014891.4752479,-0.010875331888790552
88,1647014891.4797196,-0.011000335703604236
89,1647014891.484172,-0.011000335703604236
90,1647014891.4886172,-0.011000335703604236
91,1647014891.4930675,-0.011250343333231605
92,1647014891.4975119,-0.01112533951841792
93,1647014891.5019596,-0.01112533951841792
94,1647014891.506569,-0.01112533951841792
95,1647014891.511029,-0.011250343333231605
96,1647014891.51548,-0.01112533951841792
97,1647014891.5199275,-0.01112533951841792
98,1647014891.52438,-0.011000335703604236
99,1647014891.528828,-0.011000335703604236
100,1647014891.5332792,-0.011000335703604236
101,1647014891.5377257,-0.01112533951841792
102,1647014891.5421755,-0.01112533951841792
103,1647014891.5466235,-0.011250343333231605
104,1647014891.551074,-0.011250343333231605
105,1647014891.55552,-0.011375347148045289
106,1647014891.5599658,-0.011375347148045289
107,1647014891.5644197,-0.011375347148045289
108,1647014891.5688658,-0.011375347148045289
109,1647014891.5733159,-0.01112533951841792
110,1647014891.577762,-0.01112533951841792
111,1647014891.5822134,-0.01112533951841792
112,1647014891.5866578,-0.01112533951841792
113,1647014891.5911052,-0.01112533951841792
114,1647014891.5955508,-0.01112533951841792
115,1647014891.599996,-0.011250343333231605
116,1647014891.6044445,-0.011375347148045289
117,1647014891.6090288,-0.011500350962858974
118,1647014891.6134808,-0.011375347148045289
119,1647014891.6179297,-0.011375347148045289
120,1647014891.622379,-0.011250343333231605
121,1647014891.6268225,-0.011250343333231605
122,1647014891.6312706,-0.011250343333231605
123,1647014891.6357172,-0.01112533951841792
124,1647014891.6401598,-0.011250343333231605
125,1647014891.6446078,-0.011250343333231605
126,1647014891.6490517,-0.01112533951841792
127,1647014891.6535082,-0.011375347148045289
128,1647014891.657953,-0.011500350962858974
129,1647014891.6624017,-0.011500350962858974
130,1647014891.6668444,-0.011375347148045289
131,1647014891.6712952,-0.011375347148045289
132,1647014891.6757386,-0.011375347148045289
133,1647014891.6801825,-0.011375347148045289
134,1647014891.6846263,-0.011250343333231605
135,1647014891.6890755,-0.01112533951841792
136,1647014891.6935236,-0.011250343333231605
137,1647014891.6979687,-0.011250343333231605
138,1647014891.702417,-0.011250343333231605
139,1647014891.7068613,-0.011375347148045289
140,1647014891.711338,-0.011500350962858974
141,1647014891.7157853,-0.011500350962858974
142,1647014891.7202296,-0.011375347148045289
143,1647014891.724676,-0.011375347148045289
144,1647014891.7291212,-0.011375347148045289
145,1647014891.7335699,-0.011375347148045289
146,1647014891.7380145,-0.01112533951841792
147,1647014891.7424624,-0.01112533951841792
148,1647014891.7469084,-0.01112533951841792
149,1647014891.751359,-0.011250343333231605
150,1647014891.7558033,-0.011250343333231605
151,1647014891.7602472,-0.011375347148045289
152,1647014891.764696,-0.011375347148045289
153,1647014891.7691393,-0.011375347148045289
154,1647014891.7735875,-0.011375347148045289
155,1647014891.7780316,-0.011375347148045289
156,1647014891.7824807,-0.011375347148045289
157,1647014891.7869246,-0.011375347148045289
158,1647014891.791373,-0.011250343333231605
159,1647014891.7958171,-0.01112533951841792
160,1647014891.8002627,-0.01112533951841792
161,1647014891.8047066,-0.011250343333231605
162,1647014891.8091526,-0.011250343333231605
163,1647014891.8136287,-0.011250343333231605
164,1647014891.818078,-0.011375347148045289
165,1647014891.822526,-0.011375347148045289
166,1647014891.826971,-0.011500350962858974
167,1647014891.8314192,-0.011500350962858974
168,1647014891.8358645,-0.011375347148045289
169,1647014891.8403096,-0.011375347148045289
170,1647014891.8447845,-0.01112533951841792
171,1647014891.84923,-0.01112533951841792
172,1647014891.8536806,-0.01112533951841792
173,1647014891.8581247,-0.011250343333231605
174,1647014891.8626044,-0.011250343333231605
175,1647014891.867052,-0.011375347148045289
176,1647014891.8715034,-0.011375347148045289
177,1647014891.875949,-0.011500350962858974
178,1647014891.8803918,-0.011500350962858974
179,1647014891.884841,-0.011500350962858974
180,1647014891.8892846,-0.011500350962858974
